census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Mayo,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,Market income (%),Employment income (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote19'>19</a>,6001022
2021,Mayo,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,,Government transfers (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote20'>20</a>,6001022
2021,Mayo,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,Government transfers (%),Employment insurance benefits (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,Government transfers (%),COVID-19 - Government income support and benefits (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,Government transfers (%),COVID-19 - Emergency and recovery benefits (%),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,,,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote21'>21</a>,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,,Without total income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,,With total income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,Under $10;000 (including loss),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$10;000 to $19;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$20;000 to $29;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$30;000 to $39;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$40;000 to $49;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$50;000 to $59;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$60;000 to $69;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$70;000 to $79;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$80;000 to $89;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$90;000 to $99;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$100;000 and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$100;000 to $149;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,$150;000 and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,,,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote22'>22</a>,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,,Without after-tax income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,,With after-tax income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,Under $10;000 (including loss),,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$10;000 to $19;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$20;000 to $29;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$30;000 to $39;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$40;000 to $49;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$50;000 to $59;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$60;000 to $69;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$70;000 to $79;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$80;000 to $89;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$90;000 to $99;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$100;000 and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$100;000 to $124;999,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$125;000 and over,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,,,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote19'>19</a>,6001022
2021,Mayo,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,,Without employment income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
2021,Mayo,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,,With employment income,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001022'>View boundary on map</a>,,6001022
