census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Haines Junction,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001018'>View boundary on map</a>,,6001018
2021,Haines Junction,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001018'>View boundary on map</a>,,6001018
2021,Haines Junction,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001018'>View boundary on map</a>,,6001018
2021,Haines Junction,Total - Indigenous ancestry for the population in private households - 25% sample data,,Non-Indigenous ancestry only,Indigenous ancestry,395,210,190,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001018'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote75'>75</a>,6001018
2021,Ibex Valley,,,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous population,650,350,305,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,,Indigenous identity,Indigenous population,185,100,85,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote45'>45</a>,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Single Indigenous responses,Indigenous population,185,100,85,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote46'>46</a>,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,First Nations (North American Indian),Indigenous population,150,80,70,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Métis,Indigenous population,30,15,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Inuk (Inuit),Indigenous population,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Multiple Indigenous responses,Indigenous population,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote47'>47</a>,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Indigenous responses not included elsewhere,Indigenous population,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote48'>48</a>,6001055
2021,Ibex Valley,Total - Indigenous identity for the population in private households - 25% sample data,,Non-Indigenous identity,Indigenous population,465,250,215,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,,,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Indigenous population,650,350,305,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,6001055
2021,Ibex Valley,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Registered or Treaty Indian,Indigenous population,135,80,55,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote49'>49</a>,6001055
2021,Ibex Valley,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Not a Registered or Treaty Indian,Indigenous population,520,270,250,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,,,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry,655,350,300,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote68'>68</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous ancestry (only),Indigenous ancestry,135,90,45,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote69'>69</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Single Indigenous ancestry (only),Indigenous ancestry,125,85,45,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote70'>70</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) single ancestry,Indigenous ancestry,115,75,45,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis single ancestry,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Inuit single ancestry,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Multiple Indigenous ancestries (only),Indigenous ancestry,10,10,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote71'>71</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous and non-Indigenous ancestries,Indigenous ancestry,145,55,95,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote72'>72</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Single Indigenous and non-Indigenous ancestries,Indigenous ancestry,145,55,95,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote73'>73</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and non-Indigenous ancestry only,Indigenous ancestry,120,35,80,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and non-Indigenous ancestry only,Indigenous ancestry,30,20,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Multiple Indigenous and non-Indigenous ancestries,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote74'>74</a>,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
2021,Ibex Valley,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001055'>View boundary on map</a>,,6001055
